atp_event,rival,sport,atp_duration,rival_duration,overlap_minutes,atp_source,rival_source
Dubai,Oviedo vs Ath Madrid,La Liga,150,120,0.0,dubai_2026_official_op,v4_laliga_2526
Dubai,Oviedo vs Ath Madrid,La Liga,210,105,0.0,dubai_2026_official_op,v4_laliga_2526
Dubai,Oviedo vs Ath Madrid,La Liga,210,120,0.0,dubai_2026_official_op,v4_laliga_2526
Indian Wells,Mallorca vs Espanol,La Liga,90,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Mallorca vs Espanol,La Liga,90,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Mallorca vs Espanol,La Liga,150,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Mallorca vs Espanol,La Liga,150,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Mallorca vs Espanol,La Liga,210,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Mallorca vs Espanol,La Liga,210,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Barcelona vs Sevilla,La Liga,90,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Barcelona vs Sevilla,La Liga,90,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Barcelona vs Sevilla,La Liga,150,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Barcelona vs Sevilla,La Liga,150,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Barcelona vs Sevilla,La Liga,210,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Barcelona vs Sevilla,La Liga,210,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Betis vs Celta,La Liga,90,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Betis vs Celta,La Liga,90,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Betis vs Celta,La Liga,150,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Betis vs Celta,La Liga,150,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Betis vs Celta,La Liga,210,105,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Betis vs Celta,La Liga,210,120,0.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Sociedad vs Osasuna,La Liga,90,105,45.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Sociedad vs Osasuna,La Liga,90,120,60.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Sociedad vs Osasuna,La Liga,150,105,45.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Sociedad vs Osasuna,La Liga,150,120,60.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Sociedad vs Osasuna,La Liga,210,105,45.0,indian_wells_2026_official_op,v4_laliga_2526
Indian Wells,Sociedad vs Osasuna,La Liga,210,120,60.0,indian_wells_2026_official_op,v4_laliga_2526
Marrakech,Getafe vs Ath Bilbao,La Liga,90,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Getafe vs Ath Bilbao,La Liga,90,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Getafe vs Ath Bilbao,La Liga,150,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Getafe vs Ath Bilbao,La Liga,150,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Getafe vs Ath Bilbao,La Liga,210,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Getafe vs Ath Bilbao,La Liga,210,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Valencia vs Celta,La Liga,90,105,75.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Valencia vs Celta,La Liga,90,120,75.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Valencia vs Celta,La Liga,150,105,105.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Valencia vs Celta,La Liga,150,120,120.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Valencia vs Celta,La Liga,210,105,105.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Valencia vs Celta,La Liga,210,120,120.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Oviedo vs Sevilla,La Liga,90,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Oviedo vs Sevilla,La Liga,90,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Oviedo vs Sevilla,La Liga,150,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Oviedo vs Sevilla,La Liga,150,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Oviedo vs Sevilla,La Liga,210,105,60.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Oviedo vs Sevilla,La Liga,210,120,60.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Alaves vs Osasuna,La Liga,90,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Alaves vs Osasuna,La Liga,90,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Alaves vs Osasuna,La Liga,150,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Alaves vs Osasuna,La Liga,150,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Alaves vs Osasuna,La Liga,210,105,0.0,marrakech_2026_official_op,v4_laliga_2526
Marrakech,Alaves vs Osasuna,La Liga,210,120,0.0,marrakech_2026_official_op,v4_laliga_2526
Madrid,Miami Grand Prix,F1,90,90,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,90,120,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,90,150,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,150,90,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,150,120,0.0,madrid_2026_official_op,v3_jolpica_races_2026
Madrid,Miami Grand Prix,F1,150,150,0.0,madrid_2026_official_op,v3_jolpica_races_2026
