price,tax,other_variable_cost,cac,net_sales,gateway_cost,pre_marketing_contribution,after_acquisition,contribution_pct_receipts,scope
89,0.18,60,150,75.42372881355932,2.1004,13.323328813559328,-136.67667118644067,0.14970032374785763,"Assumption scenario, not observed FanCode margin"
89,0.18,60,175,75.42372881355932,2.1004,13.323328813559328,-161.67667118644067,0.14970032374785763,"Assumption scenario, not observed FanCode margin"
89,0.18,60,200,75.42372881355932,2.1004,13.323328813559328,-186.67667118644067,0.14970032374785763,"Assumption scenario, not observed FanCode margin"
99,0.0,10,0,99.0,2.3364,86.6636,86.6636,0.875389898989899,"Assumption scenario, not observed FanCode margin"
99,0.0,10,150,99.0,2.3364,86.6636,-63.3364,0.875389898989899,"Assumption scenario, not observed FanCode margin"
99,0.0,10,175,99.0,2.3364,86.6636,-88.3364,0.875389898989899,"Assumption scenario, not observed FanCode margin"
99,0.0,10,200,99.0,2.3364,86.6636,-113.3364,0.875389898989899,"Assumption scenario, not observed FanCode margin"
99,0.0,30,0,99.0,2.3364,66.6636,66.6636,0.673369696969697,"Assumption scenario, not observed FanCode margin"
99,0.0,30,150,99.0,2.3364,66.6636,-83.3364,0.673369696969697,"Assumption scenario, not observed FanCode margin"
99,0.0,30,175,99.0,2.3364,66.6636,-108.3364,0.673369696969697,"Assumption scenario, not observed FanCode margin"
99,0.0,30,200,99.0,2.3364,66.6636,-133.3364,0.673369696969697,"Assumption scenario, not observed FanCode margin"
99,0.0,60,0,99.0,2.3364,36.6636,36.6636,0.37033939393939397,"Assumption scenario, not observed FanCode margin"
99,0.0,60,150,99.0,2.3364,36.6636,-113.3364,0.37033939393939397,"Assumption scenario, not observed FanCode margin"
99,0.0,60,175,99.0,2.3364,36.6636,-138.3364,0.37033939393939397,"Assumption scenario, not observed FanCode margin"
99,0.0,60,200,99.0,2.3364,36.6636,-163.3364,0.37033939393939397,"Assumption scenario, not observed FanCode margin"
99,0.18,10,0,83.89830508474577,2.3364,71.56190508474577,71.56190508474577,0.7228475261085432,"Assumption scenario, not observed FanCode margin"
99,0.18,10,150,83.89830508474577,2.3364,71.56190508474577,-78.43809491525423,0.7228475261085432,"Assumption scenario, not observed FanCode margin"
